Local authority code,Local authority name,LSOA code,LSOA name,median_house_price,Employment (walking),Education (walking),Healthcare (walking),Leisure and Community (walking),Shopping (walking),Residential (walking),Overall (walking),Employment (cycling),Education (cycling),Healthcare (cycling),Leisure and Community (cycling),Shopping (cycling),Residential (cycling),Overall (cycling),Business (public transport),Education (public transport),Healthcare (public transport),Leisure and Community (public transport),Shopping (public transport),Residential (public transport),Overall (public transport),Employment (driving),Education (driving),Healthcare (driving),Leisure and Community (driving),Shopping (driving),Residential (driving),Overall (driving),Employment (overall),Education (overall),Healthcare (overall),Leisure and Community (overall),Shopping (overall),Residential (overall),Overall,Index of Multiple Deprivation (IMD) Score,Income Score (rate),Employment Score (rate),"Education, Skills and Training Score",Health Deprivation and Disability Score,Crime Score,Barriers to Housing and Services Score,Living Environment Score,Income Deprivation Affecting Children Index (IDACI) Score (rate),Income Deprivation Affecting Older People (IDAOPI) Score (rate),Children and Young People Sub-domain Score,Adult Skills Sub-domain Score,Geographical Barriers Sub-domain Score,Wider Barriers Sub-domain Score,Indoors Sub-domain Score,Outdoors Sub-domain Score
E08000032,Bradford,E01010578,Bradford 015A,150000,40.87,47.73,47.45,61.56,77.89,60.79,61.1,58.43,70.12,58.43,69.32,84.7,70.18,67.81,66.12,72.86,66.02,73.27,83.03,67.43,73.1,77.01,81.95,76.86,86.22,91.99,85.84,86.23,59.71,59.94,58.1,67.91,80.93,65.12,68.0,15.055,0.117,0.077,3.33,-0.409,0.894,10.45,51.654,0.185,0.114,-1.12,0.147,31.999,-2.179,1.006,0.591
E08000032,Bradford,E01010579,Bradford 010A,417500,42.37,47.56,49.87,57.81,71.3,63.73,59.05,59.01,75.42,64.7,70.61,85.52,71.07,69.32,64.31,67.77,61.26,66.31,75.76,64.68,68.35,77.16,82.22,79.3,85.87,91.52,86.01,86.22,58.97,57.96,56.81,62.97,74.36,65.25,64.82,2.98,0.041,0.047,0.797,-0.63,-0.642,10.314,9.247,0.034,0.039,-1.594,0.096,35.17,-4.161,-0.234,-0.636
E08000032,Bradford,E01010580,Bradford 010B,282500,41.1,44.48,55.25,49.33,59.64,63.84,53.29,59.35,75.04,67.77,69.01,78.72,71.52,68.13,58.62,61.79,58.39,57.15,62.89,59.79,60.39,76.89,79.9,78.21,83.35,88.41,85.72,84.38,55.09,53.76,57.69,54.69,62.31,63.05,58.27,3.085,0.065,0.045,2.938,-0.825,-1.112,15.798,5.596,0.054,0.1,-1.689,0.156,41.693,-3.494,-0.404,-1.074
E08000032,Bradford,E01010581,Bradford 015B,185000,44.56,56.78,57.29,60.18,68.32,66.46,61.97,61.0,81.43,70.88,75.87,83.77,73.08,71.85,62.09,70.73,64.75,65.24,71.27,62.92,66.85,77.71,83.42,82.29,87.19,91.38,86.53,86.93,58.31,64.38,62.11,63.88,70.68,65.84,65.41,12.041,0.166,0.097,15.317,-0.19,-0.218,12.936,11.537,0.301,0.069,0.01,0.215,34.577,-1.798,-0.138,-0.486
E08000032,Bradford,E01010582,Bradford 015C,190000,44.5,63.11,63.4,67.84,87.59,66.19,70.97,59.8,81.32,70.3,74.65,91.92,71.94,72.34,66.43,76.76,70.7,73.29,86.06,66.87,74.75,77.74,86.3,83.23,88.2,94.01,86.6,88.28,60.92,70.28,67.92,71.04,87.17,67.47,73.18,17.273,0.159,0.105,10.832,0.209,0.205,5.38,47.781,0.248,0.138,-0.006,0.158,26.804,-3.833,1.105,-0.386
E08000032,Bradford,E01010583,Bradford 018B,225000,48.89,63.82,53.51,63.17,64.6,68.44,63.96,61.74,76.0,55.84,75.53,72.47,73.55,69.31,63.42,71.51,59.96,67.08,68.98,64.28,67.02,77.97,85.1,75.02,86.23,88.52,86.33,85.73,60.24,68.12,57.36,66.04,67.29,67.42,66.1,35.005,0.318,0.242,36.339,0.773,1.525,10.312,14.783,0.44,0.151,1.079,0.277,33.867,-3.129,0.036,-0.517
E08000032,Bradford,E01010584,Bradford 015D,172000,45.01,64.88,64.88,68.28,86.7,66.22,71.39,60.43,82.97,72.52,76.7,92.21,72.54,73.31,66.37,77.41,71.69,73.31,84.55,67.0,74.52,78.23,87.05,85.24,90.17,95.03,87.11,89.36,61.08,71.57,69.17,71.4,86.03,67.6,73.3,29.055,0.297,0.181,29.346,0.973,0.92,6.487,22.113,0.449,0.303,0.855,0.246,26.722,-2.782,0.136,0.241
E08000032,Bradford,E01010585,Bradford 015E,140475,45.16,69.22,61.27,71.37,91.28,65.19,74.24,60.2,82.59,68.68,77.07,93.92,72.2,73.4,67.9,81.15,71.95,77.99,89.58,68.47,77.75,78.31,89.84,83.91,91.4,95.86,87.09,90.11,62.06,75.43,67.62,75.06,90.7,67.78,76.13,17.028,0.165,0.113,7.492,0.326,0.673,3.946,33.415,0.223,0.166,-0.492,0.17,23.885,-4.123,0.499,0.535
E08000032,Bradford,E01010586,Bradford 022A,270000,29.63,25.65,18.56,32.45,40.81,51.36,35.21,57.33,59.73,41.02,54.14,63.59,69.41,59.64,54.79,55.24,44.72,50.06,54.82,57.79,54.27,76.66,79.87,69.84,82.45,86.27,85.46,83.06,49.79,40.26,33.56,42.77,49.05,56.23,47.17,5.59,0.06,0.049,2.912,-0.883,-1.221,25.123,16.36,0.106,0.05,-1.103,0.138,52.779,-2.07,0.09,-0.418
E08000032,Bradford,E01010587,Bradford 022B,235000,37.56,40.21,41.27,47.02,44.04,61.17,45.77,61.69,60.37,57.28,62.99,61.75,73.61,63.43,56.98,61.8,53.2,56.48,58.57,60.07,58.52,78.32,76.92,75.62,81.91,83.36,86.92,82.62,53.58,50.75,48.5,52.9,52.29,62.13,53.91,11.917,0.117,0.068,8.785,-0.211,0.313,23.618,21.939,0.171,0.08,-0.242,0.16,46.178,-0.906,0.219,0.0
E08000032,Bradford,E01010588,Bradford 022C,237500,44.57,51.1,32.52,55.55,60.58,65.26,56.19,62.22,69.15,57.36,70.92,76.87,73.91,68.64,63.62,75.24,63.46,70.46,76.13,65.23,70.27,78.51,81.33,78.58,85.32,88.25,87.17,85.47,59.47,62.68,50.26,64.06,69.3,66.44,64.63,13.135,0.158,0.101,10.167,-0.067,0.134,14.892,19.054,0.268,0.092,-0.569,0.211,35.529,-1.223,0.208,-0.398
E08000032,Bradford,E01010589,Bradford 022D,228000,31.41,38.21,42.84,43.85,38.8,54.64,41.62,58.78,57.49,56.07,56.82,58.8,71.03,60.03,54.47,56.31,50.77,53.4,56.2,58.41,55.52,77.41,71.45,72.03,80.3,83.03,86.04,81.11,50.19,47.19,47.82,49.54,48.6,58.16,50.42,7.47,0.055,0.058,5.698,-0.27,-0.823,23.685,19.717,0.094,0.036,-0.748,0.164,49.52,-1.846,0.269,-0.526
E08000032,Bradford,E01010590,Bradford 031A,234750,31.46,32.27,21.46,40.45,48.17,51.31,40.97,56.54,54.71,38.09,55.5,63.27,69.09,58.7,46.1,54.56,35.03,49.39,52.56,52.36,50.01,76.78,74.13,67.24,80.74,83.04,85.63,81.06,44.52,43.18,29.49,46.0,51.2,53.65,47.18,13.243,0.101,0.074,9.127,-0.169,-0.045,30.015,29.814,0.134,0.076,-0.407,0.184,52.696,-0.073,0.47,0.232
E08000032,Bradford,E01010591,Bradford 022E,200000,43.21,48.87,29.6,54.33,59.77,64.72,54.77,62.36,66.85,55.9,71.16,77.31,74.1,68.49,60.97,70.24,57.19,65.29,70.08,62.91,65.84,78.08,76.16,75.74,82.78,85.67,86.64,83.32,57.49,59.25,45.57,61.01,65.92,65.13,61.74,28.795,0.346,0.185,26.133,0.981,0.413,19.881,9.753,0.555,0.25,0.308,0.295,38.281,-0.151,-0.161,-0.863
E08000032,Bradford,E01010592,Bradford 031B,240000,31.79,34.98,21.56,41.6,52.51,51.24,43.24,56.83,56.83,39.71,56.46,66.98,69.39,59.94,46.52,57.55,35.85,51.25,55.48,52.81,51.74,77.11,77.7,69.76,83.43,85.94,85.96,83.1,44.9,45.99,30.03,47.49,54.8,53.85,49.09,18.46,0.176,0.121,13.585,0.386,0.248,28.227,12.583,0.283,0.149,0.039,0.19,50.862,-0.326,-0.015,-0.843
E08000032,Bradford,E01010593,Bradford 022F,210000,32.77,38.9,55.32,48.21,40.41,57.18,44.03,60.49,58.51,65.02,62.64,61.28,72.66,62.56,54.98,57.05,55.56,54.61,57.87,58.91,56.64,77.9,72.07,75.18,81.1,83.17,86.54,81.72,51.06,47.93,56.1,52.47,50.29,59.69,52.17,17.389,0.182,0.098,16.813,0.508,-0.149,22.963,22.396,0.265,0.139,0.159,0.214,47.731,-1.609,0.324,-0.249
E08000032,Bradford,E01010594,Bradford 031C,215000,24.87,40.5,20.39,50.74,35.35,50.84,40.24,56.91,48.16,31.74,64.56,56.41,69.93,58.27,46.58,52.81,34.88,51.43,48.17,52.39,49.07,77.37,69.16,62.87,81.28,78.84,86.31,79.43,43.4,46.4,28.72,52.14,42.9,53.52,46.36,23.67,0.204,0.13,26.845,0.28,0.343,33.418,26.144,0.41,0.098,0.705,0.245,53.881,0.735,0.368,0.106
E08000032,Bradford,E01010595,Bradford 031D,138000,23.85,40.84,18.67,46.05,33.88,49.59,38.71,57.14,47.26,29.16,57.87,50.35,69.94,56.14,47.97,53.37,34.07,49.6,47.04,52.8,49.01,77.63,68.53,63.15,78.65,76.95,86.49,78.34,44.1,46.78,27.45,48.71,41.37,53.14,45.55,33.437,0.363,0.163,29.826,0.619,1.004,34.373,26.548,0.609,0.286,0.876,0.247,54.342,0.949,0.414,0.009
E08000032,Bradford,E01010596,Bradford 022G,220000,44.73,47.77,34.4,52.37,59.37,64.81,54.41,61.89,67.76,57.58,69.38,74.46,73.58,67.64,62.82,70.82,60.23,66.56,72.51,64.56,67.57,78.2,78.23,77.0,83.61,86.48,86.82,84.07,58.94,58.96,49.34,60.65,66.82,65.9,62.43,11.343,0.108,0.085,7.444,-0.012,0.004,14.593,27.679,0.176,0.059,-0.853,0.195,37.537,-2.101,0.237,0.59
E08000032,Bradford,E01010597,Bradford 028A,165000,54.58,75.34,56.65,61.26,74.34,78.47,71.6,70.17,85.64,69.22,76.97,80.89,81.3,76.89,65.6,82.6,64.16,70.62,77.54,67.89,72.74,81.96,87.23,78.17,87.78,91.45,90.05,88.67,64.09,79.42,61.45,67.07,76.39,74.33,72.74,28.417,0.333,0.18,34.839,0.333,1.015,16.967,11.564,0.47,0.251,0.803,0.309,27.254,1.14,-0.193,-0.297
E08000032,Bradford,E01010598,Bradford 028B,183000,55.73,70.15,57.85,68.33,80.55,80.17,73.7,71.49,86.56,72.13,81.92,87.89,82.79,79.73,65.12,80.77,65.97,72.55,83.46,68.05,74.17,82.43,86.96,81.06,89.01,93.57,90.38,89.81,64.22,75.96,63.05,71.45,82.5,75.31,74.56,24.731,0.294,0.142,27.235,0.297,0.727,14.99,29.841,0.51,0.119,0.258,0.31,25.436,0.805,0.445,0.306
E08000032,Bradford,E01010599,Bradford 028C,140500,58.74,68.17,51.17,58.63,76.51,78.62,70.21,70.32,84.92,67.23,75.72,84.22,81.2,77.16,67.61,82.82,65.67,71.67,80.14,69.63,74.42,82.57,91.6,80.29,89.79,94.08,90.75,90.66,66.33,75.72,59.84,66.35,78.84,75.21,73.08,37.674,0.44,0.227,39.342,1.031,0.691,19.648,19.058,0.639,0.217,0.861,0.34,26.843,1.907,-0.053,0.329
E08000032,Bradford,E01010600,Bradford 028D,158000,57.44,65.51,44.67,56.1,76.73,77.98,68.59,70.47,81.53,64.27,73.44,83.49,81.13,76.23,66.34,80.48,61.0,68.95,78.82,68.45,72.6,82.2,85.79,76.96,86.38,91.17,90.25,88.15,65.24,73.14,54.42,63.75,78.23,74.36,71.41,31.285,0.374,0.203,45.934,0.469,0.596,15.726,11.694,0.51,0.202,0.523,0.42,28.569,0.587,-0.164,-0.364
E08000032,Bradford,E01010601,Bradford 032A,121500,56.93,67.71,63.83,73.04,84.95,81.69,75.77,72.43,88.28,77.41,86.17,92.08,83.94,81.94,65.51,80.57,70.86,75.49,87.22,68.6,75.91,83.0,88.4,84.6,90.78,95.66,90.8,91.31,64.87,74.69,68.45,75.26,86.58,76.36,76.46,29.809,0.303,0.163,34.164,0.586,0.771,8.138,46.161,0.449,0.155,0.835,0.298,23.514,-1.202,0.987,0.098
E08000032,Bradford,E01010602,Bradford 028E,147000,58.26,70.58,47.35,64.06,78.48,79.58,72.3,71.16,84.85,66.15,78.37,86.61,82.02,78.4,66.86,82.54,63.79,73.71,82.75,69.29,75.02,82.9,88.62,81.85,90.7,94.84,91.02,90.95,65.86,76.86,57.14,69.9,81.15,75.55,74.33,27.843,0.332,0.147,39.723,0.197,0.918,16.401,24.978,0.464,0.154,1.031,0.317,25.599,1.187,0.179,0.439
E08000032,Bradford,E01010603,Bradford 024A,180000,52.79,69.24,64.37,65.97,79.45,79.04,72.44,69.89,84.91,74.1,82.42,85.67,81.52,78.44,64.9,78.57,66.72,71.98,77.49,67.1,72.08,81.35,83.37,80.28,88.12,91.52,89.4,88.24,63.2,74.46,66.34,70.19,78.9,74.25,72.86,20.769,0.22,0.137,23.847,0.434,0.792,7.789,14.612,0.371,0.105,0.175,0.288,27.105,-2.089,0.031,-0.533
E08000032,Bradford,E01010604,Bradford 024B,180000,51.9,65.37,64.52,67.06,82.08,78.79,72.23,70.07,86.01,75.51,82.87,88.5,81.74,79.24,63.8,77.63,68.79,72.28,81.21,66.49,72.61,81.45,85.64,82.1,88.85,93.2,89.48,89.25,62.33,72.09,67.56,70.85,82.09,73.86,73.11,13.376,0.121,0.088,22.476,0.074,0.212,8.222,20.605,0.178,0.078,0.038,0.289,26.822,-1.785,0.075,0.218
E08000032,Bradford,E01010605,Bradford 024C,130000,54.28,78.88,68.82,70.12,86.4,80.56,78.39,71.14,91.75,78.35,84.88,91.47,82.67,81.44,65.8,84.3,71.38,75.51,85.01,68.23,76.06,82.13,89.98,81.99,90.64,94.74,90.18,90.78,64.29,82.33,70.91,73.91,86.09,75.56,77.55,47.49,0.467,0.257,69.531,1.066,1.234,11.99,24.283,0.581,0.462,1.643,0.432,22.476,0.253,0.169,0.391
E08000032,Bradford,E01010606,Bradford 039A,66000,66.0,71.65,66.58,80.36,91.8,81.01,81.46,72.8,86.23,75.68,87.77,94.33,83.09,82.34,70.94,85.51,74.5,82.83,92.18,72.7,81.28,84.13,89.37,82.59,91.6,97.32,92.18,92.41,70.43,78.76,71.53,82.14,92.26,77.89,81.57,72.641,0.683,0.333,70.949,1.506,1.239,30.042,67.327,0.821,0.763,0.961,0.605,18.298,4.817,1.256,1.01
E08000032,Bradford,E01010607,Bradford 039B,62500,64.44,76.1,64.98,78.57,91.74,81.28,82.07,72.93,87.81,75.76,87.46,93.84,83.53,82.52,69.21,85.69,73.21,79.31,90.63,71.19,79.67,83.62,89.21,81.22,89.44,95.74,91.48,91.19,68.99,81.26,70.15,79.62,91.43,77.35,80.99,58.202,0.569,0.261,62.774,0.819,1.267,29.441,68.038,0.645,0.683,0.738,0.529,18.89,4.694,1.359,0.676
E08000032,Bradford,E01010608,Bradford 045A,:,64.88,72.81,63.99,77.36,92.5,80.84,81.16,72.99,87.15,74.42,87.13,95.66,83.37,82.67,69.9,85.22,72.33,79.52,91.96,71.63,80.17,83.94,89.86,80.72,89.66,96.4,91.88,91.6,69.54,79.3,69.2,79.17,92.53,77.34,80.9,69.399,0.669,0.313,75.771,1.039,1.037,32.567,70.157,0.804,0.654,1.253,0.576,18.934,5.208,1.346,0.917
E08000032,Bradford,E01010609,Bradford 046A,120000,62.61,76.45,61.12,70.25,76.89,77.77,75.48,72.52,87.92,70.07,83.55,84.19,82.48,79.95,69.7,86.32,71.58,77.88,83.28,71.23,77.77,85.08,90.4,80.05,89.39,92.12,93.15,90.73,68.84,81.72,67.4,75.02,80.58,75.67,77.16,53.792,0.493,0.307,69.268,1.22,1.026,17.07,38.926,0.691,0.293,1.683,0.424,22.774,1.658,0.613,0.755
E08000032,Bradford,E01010610,Bradford 046B,116750,57.92,61.11,50.71,61.54,74.49,76.64,67.89,72.19,79.97,64.99,78.3,81.63,82.47,77.37,67.83,77.75,63.08,70.03,79.27,69.17,73.02,84.82,87.49,76.89,86.6,93.25,92.74,89.89,66.55,69.58,58.16,67.0,77.36,74.19,71.44,66.342,0.58,0.362,73.065,1.766,2.001,19.855,14.387,0.662,0.653,1.92,0.42,28.494,1.746,-0.29,0.271
E08000032,Bradford,E01010611,Bradford 046C,90000,59.85,62.61,54.34,64.06,74.34,77.29,69.18,72.74,84.17,70.39,81.74,84.81,83.09,79.41,68.12,79.75,65.64,72.54,81.28,69.51,74.47,84.87,87.2,78.76,87.58,92.93,92.86,90.09,67.24,71.44,61.3,69.59,78.46,74.7,72.88,53.478,0.504,0.267,70.108,1.181,1.191,22.86,40.57,0.671,0.46,1.493,0.463,27.098,2.705,0.664,0.765
E08000032,Bradford,E01010612,Bradford 052A,87000,54.88,54.77,39.43,59.92,70.87,73.13,63.56,71.17,75.18,57.65,75.22,78.65,81.13,75.04,65.02,75.7,58.67,69.24,75.38,66.8,70.34,84.41,85.48,74.0,85.81,89.95,92.35,88.26,63.93,65.12,50.67,65.68,73.63,71.37,68.12,80.94,0.771,0.474,87.997,1.918,2.418,26.03,14.144,0.876,0.587,2.952,0.466,31.873,2.795,-0.311,0.282
E08000032,Bradford,E01010613,Bradford 045B,81500,63.99,73.42,56.77,72.32,76.49,78.46,75.01,72.49,88.59,69.83,84.63,84.13,82.38,80.17,69.86,84.17,69.43,77.65,81.12,71.36,76.8,85.04,89.83,80.01,90.29,92.16,93.16,90.87,69.24,79.24,64.37,75.89,79.32,76.04,76.49,60.41,0.547,0.3,64.643,1.158,1.306,17.983,72.673,0.764,0.447,1.31,0.453,23.495,1.832,1.347,1.139
E08000032,Bradford,E01010614,Bradford 046D,125000,60.12,72.09,62.73,65.75,77.77,76.03,73.29,72.4,85.51,69.12,79.18,83.46,82.44,78.73,67.76,83.13,69.44,73.22,81.08,69.4,75.12,85.19,89.11,78.78,86.3,91.25,93.23,89.65,67.02,77.94,66.91,70.46,79.83,74.02,74.81,48.532,0.421,0.251,75.095,1.248,0.805,13.661,44.017,0.555,0.397,1.847,0.442,25.167,0.455,0.662,1.083
E08000032,Bradford,E01010615,Bradford 053A,112500,60.41,71.2,68.53,65.35,75.22,75.5,72.44,72.49,87.46,74.03,83.22,82.36,82.38,79.58,68.64,84.84,75.35,75.56,81.77,70.29,76.52,85.74,91.12,82.75,89.15,92.13,93.82,91.12,67.67,78.31,72.77,71.74,78.98,74.19,75.26,43.302,0.375,0.209,50.511,0.732,1.577,5.672,65.475,0.558,0.222,1.077,0.392,24.696,-2.744,1.136,1.362
E08000032,Bradford,E01010616,Bradford 053B,120000,60.12,69.17,55.49,63.73,70.13,76.39,69.63,71.66,85.68,70.97,83.03,80.77,81.7,78.57,64.98,79.64,62.68,68.36,72.7,66.69,70.31,86.29,80.71,80.8,87.94,90.57,94.35,89.41,65.13,74.92,60.22,67.49,72.06,72.86,70.82,47.1,0.561,0.253,55.875,0.998,0.641,20.216,29.09,0.696,0.49,0.617,0.483,29.131,1.747,0.433,0.257
E08000032,Bradford,E01010617,Bradford 039C,:,65.15,78.62,67.98,80.94,88.33,81.1,82.36,72.55,87.73,76.61,86.91,90.83,82.94,81.72,70.14,86.19,75.68,81.84,89.0,72.01,80.18,83.65,88.9,83.13,90.78,95.54,91.69,91.52,69.69,82.79,72.8,81.85,88.93,77.6,81.31,75.916,0.786,0.418,69.033,1.773,1.828,26.798,20.558,0.917,0.647,0.955,0.558,18.658,4.223,-0.147,0.658
E08000032,Bradford,E01010618,Bradford 038A,107000,58.38,65.3,62.69,68.2,89.25,78.96,75.38,72.96,82.5,71.36,82.93,91.07,83.64,80.57,70.96,80.2,72.33,74.99,90.64,71.9,78.63,84.53,90.88,79.53,88.32,96.27,92.26,91.5,68.76,72.96,68.54,72.67,90.18,76.63,77.62,62.781,0.593,0.281,71.329,1.099,1.276,27.784,64.323,0.654,0.685,1.145,0.542,22.299,4.222,1.188,1.022
E08000032,Bradford,E01010619,Bradford 038B,120000,59.61,67.65,67.37,71.01,90.02,80.09,77.22,73.42,85.48,76.77,86.86,94.52,84.31,82.53,70.25,82.18,75.48,75.77,91.12,71.45,79.07,84.31,89.85,81.52,88.76,96.52,92.06,91.58,68.65,75.2,72.44,74.57,90.94,76.99,78.74,44.12,0.484,0.19,52.3,0.73,0.459,24.223,65.678,0.642,0.507,0.215,0.497,21.182,3.574,1.254,0.866
E08000032,Bradford,E01010620,Bradford 042A,84000,61.14,68.75,67.05,69.47,86.35,79.56,76.3,73.24,86.45,75.62,84.69,91.64,83.88,81.7,69.77,83.62,74.51,76.56,89.3,71.17,78.77,84.44,91.09,82.07,87.87,94.16,92.31,90.92,68.66,76.44,71.73,74.13,88.23,76.58,78.15,66.899,0.58,0.284,79.052,1.204,1.486,28.7,80.57,0.698,0.514,1.47,0.551,21.734,4.44,1.566,1.16
E08000032,Bradford,E01010621,Bradford 042B,102500,62.81,73.48,68.06,73.29,89.86,80.55,79.68,73.31,88.25,76.74,87.24,94.3,83.94,82.84,69.48,85.51,75.64,77.49,90.76,71.11,79.55,83.81,90.05,81.38,88.07,94.77,91.61,90.77,68.85,79.83,72.82,76.43,90.67,77.01,80.0,52.395,0.566,0.238,59.797,0.763,0.048,28.751,73.668,0.699,0.671,0.369,0.555,19.88,4.539,1.797,0.036
E08000032,Bradford,E01010622,Bradford 042C,76500,62.04,71.38,68.49,71.17,87.2,80.19,77.81,73.17,87.38,75.96,85.45,91.58,83.82,81.91,69.34,84.5,75.58,76.57,89.71,70.88,78.91,84.18,90.99,82.43,88.27,94.15,92.02,90.91,68.57,78.25,72.95,74.92,88.81,76.72,78.84,62.699,0.576,0.261,66.361,1.363,1.048,31.357,80.818,0.648,0.573,0.708,0.594,21.036,4.937,1.723,0.857
